,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
253.0773931190465,,,"[47.5, 21.0]",,,,,,,
254.80381893922183,,"[20.75, 22.5]",,,,,,,,
255.14174191042326,,,,,,,,"[24, 19.5]",,
256.7563813581985,,"[19.5, 21.0]",,,,,,,,
257.2307506147526,,,,,"[22.75, 12.0]",,,,,
258.1809152502353,,,,,,,,,,"(0, 0)"
260.4807506147526,,,,,"[24, 9.0]",,,,,
261.8238209613144,,,"[52.0, 13.5]",,,,,,,
263.1203423888774,,"[24, 16.5]",,,,,,,,
263.22116644373756,,,,,,,"[44.25, 12.0]",,,
264.14174191042326,,,,,,,,"[24, 10.5]",,
266.1203423888774,,"[24, 13.5]",,,,,,,,
266.246772464553,,,"[48.75, 10.5]",,,,,,,
266.9327357251258,,,,,,,,,"[22.75, 13.5]",
267.6441179469761,,,,,,,"[47.5, 9.0]",,,
267.72119717624236,,,,,,,,"[20.75, 9.0]",,
267.9807506147526,,,,,"[24, 16.5]",,,,,
268.8475476027786,"[24, 6.0]",,,,,,,,,
269.1203423888774,,"[24, 10.5]",,,,,,,,
270.72119717624236,,,,,,,,"[20.75, 6.0]",,
271.4327357251258,,,,,,,,,"[22.75, 18.0]",
271.7906391814353,,,,,,"(0, 0)",,,,
272.2527524874114,,,,,"[28.0, 18.0]",,,,,
273.51793302584593,"[22.75, 10.5]",,,,,,,,,
274.0447712897755,,"[26, 6.0]",,,,,,,,
274.09813781636404,,,,"(0, 0)",,,,,,
274.6827357251258,,,,,,,,,"[24, 21.0]",
277.6610794006074,,,,,"[32.5, 21.0]",,,,,
278.01793302584593,"[22.75, 15.0]",,,,,,,,,
279.3330247928554,,,"[35.75, 9.0]",,,,,,,
280.32814984058535,,,,,,,,,,"[19.5, 10.5]"
281.62348430130993,"[20.75, 12.0]",,,,,,,,,
283.1211618175678,,,,,"[37.75, 19.5]",,,,,
285.1827357251258,,,,,,,,,"[24, 10.5]",
290.10716462602386,,,,,,,,,"[26, 6.0]",
292.08288598203524,,,,,"[45.5, 15.0]",,,,,
292.3212550465352,,,,,,,,"(0, 0)",,
295.75306463586793,,"[47.5, 9.0]",,,,,,,,
302.47538443093543,,,,,,,,,,"(0, 0)"
305.5935176763388,"(0, 0)",,,,,,,,,
313.79798664144977,,,,,,,,"[19.5, 9.0]",,
315.98923145392735,,,,,,,"(0, 0)",,,
316.198489661754,,,"(0, 0)",,,,,,,
317.16728288149346,,,,,,,,,"[52.0, 13.5]",
318.76621411028793,,,,,"[19.5, 21.0]",,,,,
320.7187765292646,,,,,"[20.75, 22.5]",,,,,
322.0069052812029,,,,"[45.5, 15.0]",,,,,,
323.3324911078068,,,,,,"[50.75, 9.0]",,,,
324.8324911078068,,,,,,"[50.75, 10.5]",,,,
325.79798664144977,,,,,,,,"[19.5, 21.0]",,
326.78505352678343,,,,,,"[52.0, 9.0]",,,,
329.9446854777404,,,,,,,,,,"[20.75, 18.0]"
331.2187765292646,,,,,"[20.75, 12.0]",,,,,
331.3488874692434,,,,,,,,"[22.75, 16.5]",,
333.4551584230582,,,,"[35.75, 21.0]",,,,,,
336.7248900971014,,,,,,,,,"[32.5, 15.0]",
337.3476018653302,,,,,"[19.5, 6.0]",,,,,
338.50779800088156,,,,,,,,"[29.25, 13.5]",,
340.1685230367829,,,"[20.75, 12.0]",,,,,,,
341.6290497851941,,,,"[39.0, 13.5]",,,,,,
344.09817814281917,,"(0, 0)",,,,,,,,
348.4748900971014,,,,,,,,,"[20.75, 15.0]",
349.24616379833884,,,,,,,,"[39.0, 9.0]",,
350.6886605066494,,,,,,,,,,"[41.0, 22.5]"
352.95755818338824,,,,,,"[26, 6.0]",,,,
354.24020307216,"[47.5, 10.5]",,,,,,,,,
354.2681157724685,,,,,,,,,,"[44.25, 21.0]"
355.61876589479607,,,,,,,"[34.5, 19.5]",,,
357.74980762843336,,,,,"(0, 0)",,,,,
364.1385564118118,,,"(0, 0)",,,,,,,
364.22948786211055,,,,,,,,"[45.5, 22.5]",,
368.06821151784806,,"[20.75, 12.0]",,,,,,,,
374.07884486975325,,,,,,,,,"(0, 0)",
379.6408863116409,,,,,,"(0, 0)",,,,
382.89949926178696,,,,"(0, 0)",,,,,,
383.4706649236325,,,,,"[22.75, 12.0]",,,,,
386.2857910021619,,,"[19.5, 10.5]",,,,,,,
387.7857910021619,,,"[19.5, 12.0]",,,,,,,
392.03824489287695,,"(0, 0)",,,,,,,,
393.7857910021619,,,"[19.5, 18.0]",,,,,,,
395.2483003356648,,,,,,,"(0, 0)",,,
398.52920749241446,,,"[24, 16.5]",,,,,,,
400.5328143261505,,,,,,,,,"[22.75, 13.5]",
402.258633768008,,,,,,"[20.75, 9.0]",,,,
402.8868884679812,"(0, 0)",,,,,,,,,
403.24834137423557,,,,,,,,,,"(0, 0)"
403.758633768008,,,,,,"[20.75, 10.5]",,,,
405.258633768008,,,,,,"[20.75, 12.0]",,,,
406.3753849056521,,,"[31.25, 19.5]",,,,,,,
406.758633768008,,,,,,"[20.75, 13.5]",,,,
409.19152221883166,,,,,"(0, 0)",,,,,
414.36208693088076,,,,,,"[19.5, 21.0]",,,,
414.98872347495245,,,,,,,,"(0, 0)",,
417.8236380475074,,,"[41.0, 13.5]",,,,,,,
422.4983003356648,,,,,,,"[22.75, 15.0]",,,
425.7293321979284,,,"[47.5, 18.0]",,,,,,,
426.9867837825478,,,,,,,,,"(0, 0)",
429.3219723676429,,,,,,,"[19.5, 21.0]",,,
429.44471516909505,,,,,,,,,,"[24, 10.5]"
430.8082667266258,,,,"[45.5, 15.0]",,,,,,
431.4122528168869,,"[35.75, 16.5]",,,,,,,,
433.2293321979284,,,"[47.5, 10.5]",,,,,,,
433.5719723676429,,,,,,,"[15.25, 21.0]",,,
434.3691440699931,,,,,,,,,,"[26, 6.0]"
434.7773259061851,"[24, 21.0]",,,,,,,,,
436.0703802769732,,,,,,"[41.0, 18.0]",,,,
437.7293321979284,,,"[47.5, 6.0]",,,,,,,
439.3848621764379,,"[41.0, 10.5]",,,,,,,,
443.858157533994,,,"[48.75, 12.0]",,,,,,,
444.0719723676429,,,,,,,"[15.25, 10.5]",,,
444.91628328345024,,,,,,"[34.5, 12.0]",,,,
444.95224296115435,,,,,,,,"[22.75, 19.5]",,
450.95224296115435,,,,,,,,"[22.75, 13.5]",,
451.2697265004426,,"[52.0, 6.0]",,,,,,,,
451.51468372645064,,,,,"[41.0, 10.5]",,,,,
452.7076410777469,,,,,,,,,"[22.75, 12.0]",
452.8640758081748,,,,,,,,,,"[44.25, 9.0]"
454.51468372645064,,,,,"[41.0, 13.5]",,,,,
455.6226283842217,,,,,,,,"[24, 18.0]",,
458.109558085409,,,,,,"[22.75, 6.0]",,,,
458.4149766359684,,,,,,,,,,"[41.0, 13.5]"
461.6649766359684,,,,,,,,,,"[37.75, 13.5]"
461.7076410777469,,,,,,,,,"[22.75, 21.0]",
462.58716882892844,,,,,,,"(0, 0)",,,
462.609558085409,,,,,,"[22.75, 10.5]",,,,
464.109558085409,,,,,,"[22.75, 12.0]",,,,
464.6226283842217,,,,,,,,"[24, 9.0]",,
465.51468372645064,,,,,"[52.0, 13.5]",,,,,
466.37802650081426,,,,,,,,,"[24, 16.5]",
466.6677633443891,"(0, 0)",,,,,,,,,
467.87802650081426,,,,,,,,,"[24, 18.0]",
469.9013908202048,,,"[22.75, 10.5]",,,,,,,
473.1556524671597,,,,,,,,"[31.25, 13.5]",,
478.7170341914646,,,,"(0, 0)",,,,,,
480.24588081203046,,,,,,,,,,"[20.75, 21.0]"
480.6556524671597,,,,,,,,"[35.75, 19.5]",,
485.20491628529555,,,,,,,"[20.75, 9.0]",,,
486.40726614222683,,,,,"[32.5, 21.0]",,,,,
488.0079681601605,,,,,,,,,,"[22.75, 13.5]"
488.2591056300325,,,,,,,,"[34.5, 12.0]",,
489.37802650081426,,,,,,,,,"[45.5, 18.0]",
489.5079681601605,,,,,,,,,,"[22.75, 12.0]"
489.83041538060814,,,,,,"(0, 0)",,,,
490.75581711308917,,,,,,,"[24, 13.5]",,,
493.87802650081426,,,,,,,,,"[45.5, 22.5]",
494.92993766209565,,,,,,,,"[41.0, 10.5]",,
494.95757768093847,,,"(0, 0)",,,,,,,
495.2531691487039,,,,,"[26, 15.0]",,,,,
498.558200782593,"[24, 21.0]",,,,,,,,,
500.17759804960195,,,,,"[24, 19.5]",,,,,
502.6244543430822,,,,,,,,,"[41.0, 15.0]",
503.61473581365215,,"(0, 0)",,,,,,,,
