,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
199.0421398280586,,,,,,"(0, 0)",,,,
199.48961228765046,,,"[45.5, 15.0]",,,,,,,
200.43289568462782,,"[26, 6.0]",,,,,,,,
200.60736471012672,,,,,"[28.0, 18.0]",,,,,
202.91727817362755,"[22.75, 15.0]",,,,,,,,,
203.98961228765046,,,"[45.5, 19.5]",,,,,,,
206.0156916233227,,,,,"[32.5, 21.0]",,,,,
206.48961228765046,,,"[47.5, 21.0]",,,,,,,
206.52282944909155,"[20.75, 12.0]",,,,,,,,,
207.66253454087345,,,,"[20.75, 16.5]",,,,,,
209.3503525316325,,,,,,,,,,"(0, 0)"
211.47577404028308,,,,,"[37.75, 19.5]",,,,,
213.74595053873102,,,,,,,,,"(0, 0)",
213.84595053873102,,,,,,,,,"[22.75, 13.5]",
215.23604012991842,,,"[52.0, 13.5]",,,,,,,
216.21793988480368,,,,,,,,"(0, 0)",,
218.34595053873102,,,,,,,,,"[22.75, 18.0]",
219.65899163315694,,,"[48.75, 10.5]",,,,,,,
220.43749820475054,,,,,"[45.5, 15.0]",,,,,
221.59595053873102,,,,,,,,,"[24, 21.0]",
222.14118903072023,,"[47.5, 9.0]",,,,,,,,
230.49286282412046,"(0, 0)",,,,,,,,,
230.95870583445105,,,,,,,"(0, 0)",,,
231.4975871219826,,,,,,,,,,"[19.5, 10.5]"
232.09595053873102,,,,,,,,,"[24, 10.5]",
232.74524396145935,,,"[35.75, 9.0]",,,,,,,
234.17314562398505,,,,"(0, 0)",,,,,,
234.27314562398504,,,,"[45.5, 15.0]",,,,,,
237.02037943962907,,,,,,,,,"[26, 6.0]",
237.6946714797182,,,,,,,,"[19.5, 9.0]",,
245.72139876584035,,,,"[35.75, 21.0]",,,,,,
247.1208263330032,,,,,"[19.5, 21.0]",,,,,
249.07338875197988,,,,,"[20.75, 22.5]",,,,,
249.6946714797182,,,,,,,,"[19.5, 21.0]",,
250.58399175443003,,,,,,"[50.75, 9.0]",,,,
252.08399175443003,,,,,,"[50.75, 10.5]",,,,
253.6448217123327,,,,,,,,,,"(0, 0)"
253.7448217123327,,,,,,,,,,
253.89529012797627,,,,"[39.0, 13.5]",,,,,,
254.0365541734067,,,,,,"[52.0, 9.0]",,,,
255.24557230751185,,,,,,,,"[22.75, 16.5]",,
259.5733887519799,,,,,"[20.75, 12.0]",,,,,
262.40448283915003,,,,,,,,"[29.25, 13.5]",,
264.0804976950987,,,,,,,,,"[52.0, 13.5]",
265.70221408804554,,,,,"[19.5, 6.0]",,,,,
269.610708830358,,,"(0, 0)",,,,,,,
270.48630253767146,,"(0, 0)",,,,,,,,
270.5882402753198,,,,,,,"[34.5, 19.5]",,,
273.1428486366073,,,,,,,,"[39.0, 9.0]",,
279.1395482199416,"[47.5, 10.5]",,,,,,,,,
280.2090588300115,,,,,,"[26, 6.0]",,,,
281.2141227591377,,,,,,,,,,"[20.75, 18.0]"
283.63810491070666,,,,,,,,,"[32.5, 15.0]",
286.1044198511487,,,,,"(0, 0)",,,,,
288.126172700379,,,,,,,,"[45.5, 22.5]",,
293.5807422053869,,,"[20.75, 12.0]",,,,,,,
294.45633591270035,,"[20.75, 12.0]",,,,,,,,
295.16573960456907,,,,"(0, 0)",,,,,,
295.38810491070666,,,,,,,,,"[20.75, 15.0]",
301.9580977880467,,,,,,,,,,"[41.0, 22.5]"
305.5375530538658,,,,,,,,,,"[44.25, 21.0]"
306.8923869582642,,,,,,"[20.75, 9.0]",,,,
308.3923869582642,,,,,,"[20.75, 10.5]",,,,
309.8923869582642,,,,,,"[20.75, 12.0]",,,,
310.2177747161885,,,,,,,"[22.75, 15.0]",,,
311.3923869582642,,,,,,"[20.75, 13.5]",,,,
311.82527714634784,,,,,"[22.75, 12.0]",,,,,
317.0414467481666,,,,,,,"[19.5, 21.0]",,,
