wave,distance,routes,order_per_wave,robot
41,230,"[[24, 19.5], [24, 18.0], [24, 10.5], [28.0, 9.0], [44.25, 10.5], [45.5, 22.5], [26, 18.0], [19.5, 21.0], [15.25, 10.5], (0, 0), [22.75, 12.0], [24, 19.5]]",9,R2
42,66,"[[24, 9.0], (0, 0), [24, 9.0]]",9,R3
43,230,"[(0, 0), [19.5, 12.0], [19.5, 21.0], [15.25, 21.0], [22.75, 13.5], [24, 19.5], [31.25, 19.5], [48.75, 12.0], [26, 6.0], [20.75, 6.0], (0, 0)]",9,R4
44,220,"[[47.5, 21.0], [45.5, 19.5], [35.75, 19.5], [22.75, 15.0], [22.75, 13.5], [24, 21.0], [24, 16.5], [24, 9.0], [20.75, 9.0], (0, 0), [32.5, 10.5], [37.75, 21.0], [47.5, 21.0]]",9,R5
45,257,"[[20.75, 13.5], [20.75, 12.0], (0, 0), [22.75, 12.0], [24, 12.0], [47.5, 9.0], [47.5, 10.5], [48.75, 6.0], [50.75, 10.5], [44.25, 19.5], [41.0, 15.0], [20.75, 13.5]]",9,R6
46,191,"[[19.5, 21.0], [19.5, 16.5], [20.75, 21.0], [22.75, 13.5], [22.75, 12.0], (0, 0), [24, 12.0], [24, 13.5], [24, 19.5], [24, 21.0], [45.5, 13.5], [19.5, 21.0]]",9,R7
47,307,"[[37.75, 18.0], [37.75, 13.5], [35.75, 13.5], [35.75, 21.0], [28.0, 18.0], [24, 13.5], [24, 10.5], [22.75, 6.0], [22.75, 12.0], [22.75, 15.0], [22.75, 21.0], [19.5, 21.0], [15.25, 10.5], [15.25, 6.0], (0, 0), [20.75, 12.0], [39.0, 9.0], [52.0, 13.5], [37.75, 18.0]]",9,R8
48,137,"[(0, 0), [26, 6.0], [37.75, 13.5], [24, 15.0], (0, 0)]",9,R9
49,188,"[(0, 0), [31.25, 6.0], [45.5, 12.0], [45.5, 13.5], [45.5, 22.5], [41.0, 16.5], [41.0, 15.0], [35.75, 22.5], [19.5, 21.0], [22.75, 13.5], (0, 0)]",9,R10
50,219,"[[41.0, 19.5], [41.0, 22.5], [45.5, 22.5], [45.5, 10.5], [34.5, 12.0], [31.25, 6.0], [24, 6.0], (0, 0), [22.75, 13.5], [19.5, 21.0], [24, 21.0], [41.0, 19.5]]",9,R1
51,241,"[[20.75, 9.0], [20.75, 6.0], (0, 0), [19.5, 16.5], [26, 18.0], [28.0, 22.5], [47.5, 16.5], [45.5, 10.5], [44.25, 10.5], [42.25, 12.0], [20.75, 9.0]]",9,R2
52,290,"[[31.25, 22.5], [31.25, 21.0], [24, 16.5], [24, 13.5], [19.5, 21.0], [22.75, 16.5], [22.75, 10.5], [20.75, 9.0], (0, 0), [26, 10.5], [41.0, 12.0], [44.25, 9.0], [44.25, 21.0], [45.5, 13.5], [47.5, 15.0], [31.25, 22.5]]",9,R3
53,214,"[[44.25, 10.5], [44.25, 19.5], [45.5, 12.0], [45.5, 13.5], [42.25, 15.0], [37.75, 15.0], [24, 19.5], [24, 16.5], [24, 12.0], [20.75, 6.0], (0, 0), [44.25, 10.5]]",9,R4
54,228,"[[24, 10.5], [24, 12.0], [24, 16.5], [26, 21.0], [26, 19.5], [26, 16.5], [39.0, 18.0], [41.0, 15.0], [22.75, 13.5], [19.5, 21.0], [20.75, 16.5], [20.75, 12.0], [20.75, 9.0], [15.25, 9.0], (0, 0), [24, 10.5]]",9,R5
55,66,"[[22.75, 10.5], (0, 0), [22.75, 10.5]]",9,R6
56,170,"[[41.0, 15.0], [29.25, 13.5], (0, 0), [15.25, 10.5], [22.75, 15.0], [41.0, 15.0]]",9,R7
57,101,"[[19.5, 21.0], [26, 6.0], (0, 0), [19.5, 21.0]]",9,R8
