wave,distance,routes,order_per_wave,robot
48,137,"[(0, 0), [26, 6.0], [37.75, 13.5], [24, 15.0], (0, 0)]",9,R1
49,188,"[(0, 0), [22.75, 13.5], [19.5, 21.0], [35.75, 22.5], [41.0, 15.0], [41.0, 16.5], [45.5, 22.5], [45.5, 13.5], [45.5, 12.0], [31.25, 6.0], (0, 0)]",9,R1
50,219,"[(0, 0), [24, 6.0], [31.25, 6.0], [34.5, 12.0], [45.5, 10.5], [45.5, 22.5], [41.0, 22.5], [41.0, 19.5], [24, 21.0], [19.5, 21.0], [22.75, 13.5], (0, 0)]",9,R1
51,241,"[(0, 0), [20.75, 6.0], [20.75, 9.0], [42.25, 12.0], [44.25, 10.5], [45.5, 10.5], [47.5, 16.5], [28.0, 22.5], [26, 18.0], [19.5, 16.5], (0, 0)]",9,R1
52,290,"[(0, 0), [20.75, 9.0], [22.75, 10.5], [22.75, 16.5], [19.5, 21.0], [24, 13.5], [24, 16.5], [31.25, 21.0], [31.25, 22.5], [47.5, 15.0], [45.5, 13.5], [44.25, 21.0], [44.25, 9.0], [41.0, 12.0], [26, 10.5], (0, 0)]",9,R1
53,214,"[(0, 0), [20.75, 6.0], [24, 12.0], [24, 16.5], [24, 19.5], [37.75, 15.0], [42.25, 15.0], [45.5, 13.5], [45.5, 12.0], [44.25, 19.5], [44.25, 10.5], (0, 0)]",9,R1
54,228,"[(0, 0), [15.25, 9.0], [20.75, 9.0], [20.75, 12.0], [20.75, 16.5], [19.5, 21.0], [22.75, 13.5], [39.0, 18.0], [41.0, 15.0], [26, 16.5], [26, 19.5], [26, 21.0], [24, 16.5], [24, 12.0], [24, 10.5], (0, 0)]",9,R1
55,66,"[(0, 0), [22.75, 10.5], (0, 0)]",9,R1
56,170,"[(0, 0), [15.25, 10.5], [22.75, 15.0], [41.0, 15.0], [29.25, 13.5], (0, 0)]",9,R2
57,101,"[(0, 0), [26, 6.0], [19.5, 21.0], (0, 0)]",9,R2
58,263,"[(0, 0), [22.75, 12.0], [19.5, 21.0], [24, 18.0], [26, 15.0], [37.75, 19.5], [47.5, 21.0], [44.25, 6.0], [42.25, 6.0], [34.5, 12.0], [28.0, 9.0], (0, 0)]",9,R2
59,164,"[(0, 0), [22.75, 10.5], [47.5, 21.0], [34.5, 18.0], [34.5, 12.0], [31.25, 6.0], (0, 0)]",9,R2
